OBJECTID,TRACT,STATE_FIPS,CNTY_FIPS,TRACT_CODE,CENSUS_KEY,COUNTY,TRACT_ID,MSSA_ID,MSSA_NAME,AREA_SQMI,POP,POP_CIV,POP100POV,PCT100POV,POP200POV,PCT200POV,WHITE,PCT_WHITE,NHS_WHITE,PCT_NHS_WHITE,BLACK,PCT_BLACK,NHS_BLACK,PCT_NHS_BLACK,ASIAN,PCT_ASIAN,NHS_ASIAN,PCT_NHS_ASIAN,AMIND_ESK,PCT_AMIND_ESK,NHS_AMIND_ESK,PCT_NHS_AMIND_ESK,ISLANDER,PCT_ISLAND,NHS_ISLANDER,PCT_NHS_ISLANDER,OTHER_RACE,PCT_OTHER,NHS_OTHER_RACE,PCT_NHS_OTHER_RACE,MULTI_RACE,PCT_MULTI,NHS_MULTI_RACE,PCT_NHS_MULTI_RACE,HISPANIC,PCT_HSPNC,AGE_UNDER5,PCT_UNDER5,AGE_UNDR18,PCT_UNDR18,AGE_18_64,PCT_18_64,AGE_65OVER,PCT_65OVER,ELD_RATIO,YTH_RATIO,TotalPovertyPop,SHAPE_Length,SHAPE_Area
4958,4514.04,6,1,451404,6001451404,Alameda,4514.04,1.1,Livermore Central and West/Spring Town,0.64669,6331,6331,416,6.570841,1873,29.584583,4680,73.921971,2622,41.415258,216,3.411783,205,3.238035,586,9.256041,514,8.11878,34,0.537039,0,0,0,0,0,0,1025,16.190175,10,0.157952,210,3.317011,133,2.100773,2847,44.969199,440,6.949928,1736,27.420628,4173,65.913757,422,6.665613,0.101126,0.416007,6331,6029.570054,1674928.02
5005,4513,6,1,451300,6001451300,Alameda,4513,1.1,Livermore Central and West/Spring Town,4.899127,6076,6076,136,2.238314,769,12.656352,4951,81.484529,3949,64.993416,14,0.230414,0,0,640,10.533245,525,8.640552,64,1.053324,0,0,40,0.658327,0,0,673,11.076366,53,0.872284,289,4.756418,166,2.73206,1383,22.761685,220,3.620803,1548,25.477287,4002,65.865701,526,8.657011,0.131434,0.386806,6076,16066.77793,12688733.32
5034,4517.04,6,1,451704,6001451704,Alameda,4517.04,1.1,Livermore Central and West/Spring Town,0.774303,4258,4258,62,1.472334,373,8.857753,3757,88.233912,3279,77.007984,47,1.103804,47,1.103804,270,6.341005,195,4.579614,26,0.610615,0,0,47,1.103804,47,1.103804,256,6.012212,0,0,145,3.405354,101,2.372005,589,13.832785,282,6.622827,1089,25.575387,2605,61.178957,564,13.245655,0.216506,0.418042,4211,5814.141386,2005444.702
5052,4514.01,6,1,451401,6001451401,Alameda,4514.01,1.1,Livermore Central and West/Spring Town,1.789784,5338,5338,359,6.725365,1013,18.977144,4043,75.739977,3317,62.139378,207,3.877856,146,2.735106,705,13.207193,654,12.251779,98,1.835893,0,0,0,0,0,0,492,9.216935,35,0.655676,162,3.034844,94,1.760959,1092,20.4571,312,5.844885,1117,20.92544,3744,70.138628,477,8.935931,0.127403,0.298344,5338,9678.039679,4635540.24
5087,4512.01,6,1,451201,6001451201,Alameda,4512.01,1.1,Livermore Central and West/Spring Town,1.421686,6866,6866,835,12.254182,1343,19.709421,4757,69.283425,4385,63.865423,452,6.583163,438,6.37926,905,13.180891,775,11.287503,42,0.611709,32,0.466064,24,0.349548,0,0,864,12.583745,89,1.296242,178,2.592484,178,2.592484,969,14.11302,674,9.816487,1856,27.03175,4540,66.122924,470,6.845324,0.103524,0.40881,6814,8764.254326,3682165.797
5136,4512.02,6,1,451202,6001451202,Alameda,4512.02,1.1,Livermore Central and West/Spring Town,17.747281,3536,3536,200,5.656108,452,12.782805,3043,86.057692,2568,72.624434,33,0.933257,15,0.424208,165,4.666289,122,3.450226,64,1.809954,0,0,123,3.478506,123,3.478506,233,6.589366,0,0,125,3.535067,56,1.58371,652,18.438914,178,5.033936,776,21.945701,2567,72.596153,193,5.458144,0.075185,0.302298,3536,28979.67455,45965430.66
5142,4517.03,6,1,451703,6001451703,Alameda,4517.03,1.1,Livermore Central and West/Spring Town,0.658231,4067,4067,128,3.156596,206,5.080147,3323,81.706417,2900,71.30563,152,3.737398,114,2.803048,594,14.60536,529,13.00713,0,0,0,0,0,0,0,0,101,2.483402,0,0,65,1.598229,65,1.598229,459,11.28596,316,7.769854,1213,29.825424,2304,56.651094,550,13.523481,0.238715,0.526475,4055,6569.110228,1704818.359
5151,4516.01,6,1,451601,6001451601,Alameda,4516.01,1.1,Livermore Central and West/Spring Town,1.51983,4190,4190,171,4.081145,401,9.570405,3598,85.871121,3092,73.794749,67,1.599045,25,0.596658,489,11.670644,402,9.594272,87,2.076372,0,0,0,0,0,0,206,4.916467,0,0,244,5.823389,142,3.389021,529,12.625298,163,3.890214,956,22.816229,2870,68.49642,364,8.68735,0.126829,0.333101,4190,10356.50354,3936358.539
5157,4514.03,6,1,451403,6001451403,Alameda,4514.03,1.1,Livermore Central and West/Spring Town,0.260435,2329,2329,121,5.195362,492,21.124946,1786,76.685272,999,42.893945,103,4.422498,94,4.036066,436,18.72048,420,18.03349,9,0.386431,0,0,0,0,0,0,29,1.245169,0,0,25,1.073422,25,1.073422,791,33.963074,300,12.881064,637,27.350794,1565,67.196221,127,5.452984,0.08115,0.407028,2329,3479.683717,674526.82
5188,4516.02,6,1,451602,6001451602,Alameda,4516.02,1.1,Livermore Central and West/Spring Town,1.16349,5830,5590,279,4.991055,730,13.059033,5017,86.054888,4455,76.415094,28,0.480274,11,0.188679,562,9.639794,446,7.650085,30,0.514579,0,0,8,0.137221,8,0.137221,380,6.51801,0,0,195,3.344768,127,2.178387,783,13.430531,372,6.380789,1160,19.897084,3517,60.3259,1153,19.777015,0.327836,0.329826,5590,8246.749081,3013437.432
